county_id,county_name,year,production_t,harvested_area_ha,active_yield_t_per_ha,label_method,reconciliation_status,source_vintage,source_snapshot_id,provisional,split,usable_for_modelling
tharaka_nithi,Tharaka Nithi,2012,83904.59,32591.0,2.57416433924,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
trans_nzoia,Trans Nzoia,2012,465368.94,138816.0,3.35235967179,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
turkana,Turkana,2012,4408.85,4329.0,1.01844421344,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
uasin_gishu,Uasin Gishu,2012,469665.44,143886.0,3.26414911764,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
vihiga,Vihiga,2012,74631.3,32336.0,2.3073478476,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
wajir,Wajir,2012,196.27,171.0,1.14777777778,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
west_pokot,West Pokot,2012,100029.25,46999.0,2.1283261346,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
baringo,Baringo,2013,51646.4,34320.0,1.50484848485,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
bomet,Bomet,2013,85588.82,32641.0,2.62211880764,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
bungoma,Bungoma,2013,259121.94,97049.0,2.67003266391,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
busia,Busia,2013,71971.61,44761.0,1.60866843994,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
elgeyo_marakwet,Elgeyo Marakwet,2013,107877.92,34084.0,3.16463091186,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
embu,Embu,2013,110249.97,42139.0,2.61635017442,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
garissa,Garissa,2013,153.84,95.0,1.61936842105,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
homa_bay,Homa Bay,2013,126822.97,62053.0,2.04378241181,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
isiolo,Isiolo,2013,706.22,604.0,1.1692384106,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kajiado,Kajiado,2013,28177.1,18621.0,1.51318726169,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kakamega,Kakamega,2013,216242.58,83867.0,2.57841416624,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
kericho,Kericho,2013,121456.44,42154.0,2.88125160127,reported,consistent,nipfn-workbook-2012-2020,snapshot://raw/nipfn-maize-2012-2020/15a47b6fdc634fab7a69cd7576974d2f9eeb550218389d4a1526dd8123a92ab8.xlsx,false,train,true
